"N","Time","avg(f)","max(Y)"
1,19.649,139.1,241.5
1,19.698,136.71,241.5
1,19.747,134.65,241.5
1,19.796,132.75,241.5
1,19.845,131.24,241.5
1,19.894,129.87,241.5
1,19.943,128.61,241.5
1,19.992,127.46,241.5
1,20.041,125.8,241.5
1,20.09,125.8,241.5
1,20.139,125.5,241.5
1,20.188,132.78,241.5
1,20.237,132.01,241.5
1,20.286,131.07,241.5
1,20.335,130.05,241.5
1,20.384,129.02,241.5
1,20.433,144.04,241.5
1,20.482,141.51,241.5
1,20.531,139.32,241.5
1,20.58,137.37,241.5
1,20.629,135.65,241.5
1,20.678,134.08,241.5
1,20.727,132.66,241.5
1,20.776,131.36,241.5
1,20.825,129.97,241.5
1,20.874,129.33,241.5
1,20.923,128.6,241.5
1,20.972,127.82,241.5
1,21.021,127.04,241.5
1,21.07,126.26,241.5
1,21.119,125.5,241.5
1,21.168,124.76,241.5
1,21.217,139.58,241.5
1,21.266,136.64,241.5
1,21.315,134.3,241.5
1,21.364,132.38,241.5
1,21.413,130.74,241.5
1,21.462,128.74,241.5
1,21.511,128.05,241.5
1,21.56,127.31,241.5
1,21.609,141.06,241.5
1,21.658,138.38,241.5
1,21.707,136.14,241.5
1,21.756,134.24,241.5
1,21.805,132.57,241.5
1,21.854,134.73,241.5
1,21.903,133.32,241.5
1,21.952,132,241.5
1,22.001,145.63,241.5
1,22.05,143.09,241.5
1,22.099,140.86,241.5
1,22.148,138.87,241.5
1,22.197,137.08,241.5
1,22.246,139.05,241.5
1,22.295,137.25,241.5
1,22.344,135.69,241.5
1,22.393,148.67,241.5
1,22.442,145.49,241.5
1,22.491,142.84,241.5
1,22.54,140.58,241.5
1,22.589,138.61,241.5
1,22.638,136.67,241.5
1,22.687,135.52,241.5
1,22.736,134.38,241.5
1,22.785,136.76,241.5
1,22.834,135.39,241.5
1,22.883,134.18,241.5
1,22.932,133.07,241.5
1,22.981,132.05,241.5
1,23.03,145.25,241.5
1,23.079,143,241.5
1,23.128,141.02,241.5
1,23.177,138.93,241.5
1,23.226,137.8,241.5
1,23.275,136.66,241.5
1,23.324,135.54,241.5
1,23.373,134.46,241.5
1,23.422,139.81,241.5
1,23.471,138.6,241.5
1,23.52,137.36,241.5
